Gene,SRR10398412,SRR10398413,SRR10398414,SRR10398415,SRR10398416,SRR10398417,SRR10398418,SRR10398419,SRR10398420
PA1212,163.4159,101.302,64.07821,132.47653,124.74061,150.04076,102.274025,193.30286,253.46065
PA1213,65.12274,38.1741,27.467571,103.512184,78.40955,60.25066,60.75271,125.64235,159.62447
PA1214,98.001,59.98829,23.912388,109.740204,73.13996,83.31198,100.461395,169.1682,230.31406
PA1215,187.5807,79.7213,57.66911,190.79602,179.83736,176.8431,135.39282,333.0089,367.54602
PA1216,193.4161,85.68207,39.412907,204.58125,163.1618,135.86943,168.23329,566.93726,436.01456
PA1217,594.8792,334.92648,176.81804,549.10657,467.04916,436.76074,399.3633,891.2974,919.8555
PA1218,95.4567,55.26559,49.233765,164.58553,140.43745,137.9776,144.35524,307.7959,321.95874
PA1219,47.037476,19.609716,16.388878,48.487003,32.00908,30.955961,30.829739,65.2986,76.20187
PA1220,95.74206,38.33411,22.838772,72.94182,64.100296,80.65562,61.252106,189.37814,192.20058
PA1221,290.26392,143.86543,164.90924,573.3492,392.8687,469.3172,413.73352,640.1312,861.6824
PA1222,1008.2588,690.2892,315.7833,505.743,493.0505,591.647,400.62283,766.5393,762.8701
PA1223,1060.7445,531.1946,370.79114,678.46747,515.0369,645.8045,276.8651,627.8718,828.2014
PA1224,286.7449,116.8846,91.462585,146.10216,134.58757,166.45242,97.612,203.15062,186.9675
PA1225,160.4648,96.54388,66.502884,91.504265,82.83556,106.63042,47.176292,133.09262,128.23674
PA1226,669.3181,445.5389,227.68428,469.0099,358.85062,347.57394,280.7198,643.4496,592.6205
PA1227,684.53894,476.6317,180.70987,452.06396,459.71585,422.75278,328.51068,571.7789,643.0406
PA1228,171.0671,91.99968,51.60762,109.50242,82.6312,123.94781,61.360138,105.96518,117.686775
PA1229,269.34186,167.80478,88.081505,264.82797,221.69275,250.59521,170.52829,358.78903,398.70206
PA1230,24.28527,13.03756,13.839119,15.315177,7.025152,10.90708,3.2615366,12.6377,20.29917
PA1231,43.670856,23.626541,9.17436,37.090187,31.75873,49.85348,26.223103,50.759415,53.68387
PA1232,256.76013,132.5431,71.92782,144.62926,155.07014,161.70654,75.99411,205.44357,250.74706
PA1233,114.74767,76.25127,41.404823,51.17575,47.054363,59.916454,43.834034,91.07216,69.0335
PA1234,414.83926,313.1594,195.11629,263.5251,207.35164,224.73654,250.07034,455.2932,355.16977
PA1235,206.22044,165.51572,73.438034,150.46967,125.75444,176.20148,116.33068,249.78174,218.74347
PA1236,247.51079,141.67787,102.99596,195.80182,159.77434,186.09459,122.5827,184.0907,221.84671
PA1237,142.6151,79.6851,44.179398,110.46278,106.680885,123.194435,61.97366,123.73941,193.3514
PA1238,142.2463,73.81577,38.348167,78.553505,81.818565,100.87228,52.44099,86.27891,158.30812
PA1239,25.4289,17.635275,4.080236,4.203994,0,10.426035,3.3168886,3.0773547,6.573415
PA1240,35.13432,21.528723,11.996364,4.2610207,2.017824,11.687959,5.5064826,5.0695205,12.085076
PA1241,168.56842,78.1347,53.759266,24.587452,32.640812,35.579353,17.158535,43.015156,46.473816
PA1242,990.95435,525.79285,317.10144,1111.0751,1076.7971,1107.628,577.9126,1069.9574,1372.1962
PA1243,1246.2136,659.7116,361.08972,1472.1995,1273.5992,1417.9672,964.5501,1523.0116,1638.9868
PA1244,240.30011,134.73349,104.79015,165.37878,121.09396,162.14833,170.78413,231.74544,197.82454
PA1245,745.90857,483.8746,260.31882,674.33575,591.16284,548.01495,502.62073,1078.1295,1572.3364
PA1246,262.47147,176.55551,100.81499,241.92969,218.19846,185.4536,142.75789,359.263,655.1219
PA1247,206.15314,127.843254,75.84326,258.06403,211.83742,193.60162,159.20837,285.51144,503.83014
PA1248,337.7881,206.94466,179.65686,556.5422,460.6851,396.4364,232.4606,489.3214,1053.7031
PA1249,3003.5466,1494.6471,590.98315,2372.8264,1959.2134,1688.229,1335.9845,2562.7688,3363.0522
PA1250,309.36185,129.60103,103.01143,327.52316,278.4393,288.0796,269.42157,490.4232,567.8795
PA1251,201.61714,115.38196,51.802326,135.54103,104.5963,115.804886,94.11625,222.53566,270.28027
PA1252,851.0626,463.22446,213.65442,843.5764,728.0163,624.7397,512.41675,943.7868,1027.0519
PA1253,345.34818,190.8104,71.7065,276.86575,243.31435,210.53275,112.70318,308.7464,380.4041
PA1254,125.09423,61.38527,54.80749,87.88121,80.78149,100.37913,100.850845,130.1309,114.64014
PA1255,148.38107,65.25457,33.847916,111.503105,72.005005,125.002716,73.42983,120.49193,151.67493
PA1256,88.4838,47.024216,55.99601,62.263893,66.42153,59.57912,48.376736,107.16574,107.7084
PA1257,85.044464,51.520206,39.301712,54.451504,48.244595,61.531605,36.254967,73.77415,89.63126
PA1258,67.155334,38.997894,32.30605,36.01351,41.14239,62.12237,37.007793,52.201763,67.33788
PA1259,418.1857,209.39075,120.25945,322.79858,288.64493,316.1832,187.03969,322.73495,485.8575
PA1260,122.03685,59.397778,11.530916,73.84051,55.42136,88.885826,68.49972,163.95416,109.64424
PA1261,385.89032,202.55605,129.8173,207.33139,175.31468,235.98462,112.49457,257.73383,278.8346
PA1262,175.03958,87.851814,45.784176,68.34654,59.4551,77.00972,50.245937,99.23012,103.661255
PA1263,603.19965,314.2718,195.71362,440.56943,370.746,513.07635,405.33362,849.0352,737.79236
PA1264,557.50757,268.28418,215.24683,330.6153,335.13956,326.1089,193.31206,444.76782,491.4384
PA1265,94.26087,56.493717,29.080305,70.60785,52.936863,73.80087,38.482227,86.30911,130.29239
PA1266,278.95932,160.2532,81.52736,270.9943,212.07417,191.94193,141.46071,252.50807,365.5583
PA1267,314.9418,215.65326,102.57333,258.03735,260.33795,214.18611,144.58061,272.3936,389.98926
PA1268,218.7428,120.20557,44.14615,106.64554,118.09976,112.806656,88.42437,186.74812,177.15527
PA1269,1507.774,760.68945,763.732,674.25836,570.5091,876.7674,374.64725,712.4253,650.96936
PA1270,328.2422,187.68927,128.74605,164.03082,144.13036,158.07796,79.72149,174.549,205.69681
PA1271,1576.2574,843.7515,495.78967,714.9439,634.484,1054.9463,571.3034,1179.323,970.75806
PA1272,533.66956,369.26907,167.38841,414.42282,285.09122,598.6983,354.94095,694.0263,531.6366
PA1273,833.4744,474.86746,220.19064,409.10733,367.6557,634.9407,245.37706,582.6691,542.43066
PA1274,246.0026,173.28445,78.35397,200.49619,161.934,251.53297,113.56918,201.58476,227.05989
PA1275,253.49113,168.60292,62.573795,176.52881,132.05154,281.04465,89.976494,192.62067,216.08176
PA1276,453.42365,245.61264,104.693794,261.158,214.23613,407.8442,124.454796,328.77863,326.51233
PA1277,613.1262,361.6978,200.27919,427.18988,356.7344,603.45,239.13533,489.19427,462.92245
PA1278,270.34668,176.48941,81.93856,222.9849,178.53027,320.12564,87.604996,238.11218,247.60681
PA1279,397.40555,251.487,106.78325,282.11438,265.03024,365.42242,154.51736,346.21194,427.18558
PA1280,134.45908,104.83897,37.05301,123.28699,80.58665,129.8044,67.91613,146.0136,115.92532
PA1281,177.24484,91.47161,51.78714,170.35963,160.51996,178.22514,73.11889,141.56786,227.3675
PA1282,261.70126,154.08893,85.88771,667.5663,656.6733,395.30798,337.5269,575.61694,1182.2196
PA1283,1161.9088,588.60077,397.7189,1859.7517,1245.0265,1191.0846,876.9537,1694.0803,3073.011
PA1284,719.15784,468.79358,270.01685,655.0032,594.8605,520.75134,410.5048,746.5266,874.5905
PA1285,516.5909,221.1891,206.14983,494.21045,359.8504,705.3079,393.786,860.4102,787.6105
PA1286,203.95647,117.508934,59.19685,100.79489,83.343575,172.01881,98.97849,170.23936,171.00346
PA1287,1844.0646,893.98975,976.45703,1192.7694,1273.8799,1466.0763,812.476,1457.6042,1709.1619
PA1288,21427.594,11429.441,7426.861,9082.79,7231.97,13599.612,5877.9673,11020.666,8347.133
PA1289,1599.2667,646.3059,479.41626,798.839,647.20325,1107.4836,475.8272,957.0952,884.7938
PA1290,348.66797,154.50974,136.9234,438.3213,225.06395,333.40237,192.34206,443.58603,478.43076
PA1291,426.9712,236.64337,123.86642,314.78183,299.1065,459.24078,283.12607,488.74844,468.42215
PA1292,1852.427,1061.3119,480.55563,713.4669,615.88245,665.2574,454.60434,990.11194,757.84204
PA1293,2600.1233,1410.1829,1084.3157,1401.9707,1060.9418,2308.7092,1301.6047,2423.5325,1633.6829
PA1294,2313.8848,1502.0481,745.4404,593.5719,574.9804,793.0837,635.5127,1145.3646,861.7586
PA1295,644.2244,377.3052,315.47208,243.74461,197.81664,334.99863,162.34161,362.11,337.3987
PA1296,3482.5352,1947.9303,1672.922,2023.747,2001.446,2035.2334,1197.889,2142.3245,2576.0378
PA1297,675.7651,388.66412,233.97092,496.5433,390.70776,418.03986,340.81073,543.7668,598.2426
PA1298,165.86273,104.56535,53.234146,72.290405,73.56242,85.38883,73.07056,113.172325,78.96333
PA1299,668.74603,365.25204,229.25404,176.79425,194.07521,270.3802,185.58066,313.63544,227.52269
PA1300,204.7197,91.927986,62.546577,84.68768,73.55885,96.22093,31.902903,96.51412,102.364746
PA1301,305.48978,140.69797,63.00242,110.93456,87.936554,122.61622,58.575912,128.41862,148.72989
PA1302,464.72678,243.54306,190.77188,447.3107,336.33902,340.30316,283.55533,544.9665,558.5235
PA1303,386.7562,230.75163,119.231064,192.42744,111.34641,187.46448,75.3445,186.80373,185.68202
PA1304,2250.1506,1290.2001,702.1187,554.51404,523.94354,753.8564,516.9883,1101.7908,934.0146
PA1305,2548.5332,1486.4194,1290.4858,695.98193,802.0934,1028.2766,512.1923,1103.7728,1156.6039
PA1306,1354.9133,842.67175,638.09125,719.9307,713.9171,567.25653,359.90323,733.90686,935.90424
PA1307,4554.1084,2739.177,2027.4481,2348.1353,2201.2544,2269.9392,1238.8497,2182.1963,2786.0906
PA1308,2487.8699,1411.5248,1260.7233,1414.0004,1473.9575,1338.1409,771.63153,1301.2944,1590.7052
PA1309,1206.3954,657.7217,534.27026,831.437,858.20593,768.4455,409.54245,876.80304,976.27386
PA1310,278.61038,139.74008,95.63776,169.50043,137.93451,144.89937,127.823456,295.74594,277.23157
PA1311,538.5924,285.2896,183.25916,396.791,318.45105,377.2517,230.70296,573.8433,589.5191
PA1312,1135.7994,501.87393,371.85455,387.04144,359.52316,427.96408,260.32486,528.64514,583.0815
PA1313,299.91324,155.11778,127.44592,399.7478,362.79562,334.24915,258.26297,524.3679,649.496
PA1314,184.33237,96.9678,77.712494,177.39082,163.22868,145.76598,106.20673,217.79073,239.39856
